tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06065041004,346,3e3,5129.664360085365,34376.992082482604,0.11533333333333333,5.191543611928616e-4
06065041101,71,2993,2344.028602839959,64877.81894106669,0.02372201804209823,2.575917634736933e-4
06065041102,150,2583,1334.4296523498492,32159.717667057765,0.05807200929152149,2.1626315155498974e-4
06065041201,270,2678,4577.56303064458,23467.6324128565,0.10082150858849888,6.050203963880551e-4
06065041202,111,2568,875.4538483569073,17886.013617760364,0.04322429906542056,1.276853226420705e-4
06065041203,72,2077,558.7531526870594,11060.134329875002,0.03466538276360135,1.2644211658444364e-4
06065041301,125,2107,960.8189133507636,21642.076477490045,0.05932605600379687,2.3358528340138994e-4
06065041302,150,2501,1453.4233793109818,26147.57808963332,0.059976009596161534,2.473987455106231e-4
06065041403,586,2376,7919.73466616162,8314.779057843145,0.24663299663299662,0.0013132809324543555
06065041404,464,2569,4308.164189170462,17241.52585434355,0.1806150253016738,5.675530975904537e-4
06065041405,450,2723,7838.804149998615,17082.251642168867,0.1652589056188028,9.942749378936827e-4
06065041406,758,3396,9263.772507644977,28972.38569488456,0.2232037691401649,6.78097222395157e-4
